,first150,fname,match
314,"JULY 30, 2001 -1- FINAL DECISION AND ORDER 01-245 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GREENWICH BOARD OF EDUCATION APPEARING ON BE",01_245.pdf.txt,GREENWICH
1352,"OCTOBER 26, 2002 -1- FINAL DECISION AND ORDER 01-257 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WETHERSFIELD BOARD OF EDUCATION APPEARING",01_257.pdf.txt,WETHERSFIELD
2158,"MARCH 14, 2002 -1- FINAL DECISION AND ORDER 01-258 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWALK BOARD OF EDUCATION APPEARING ON BEH",01_258.pdf.txt,NORWALK
1902,"DECEMBER 10, 2001 -1- FINAL DECISION AND ORDER 01-265 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. PLAINVILLE BOARD OF EDUCATION APPEARING ",01_265.pdf.txt,PLAINVILLE
708,"OCTOBER 11, 2001 -1- FINAL DECISION AND ORDER 01-269 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WETHERSFIELD BOARD OF EDUCATION APPEARING",01_269.pdf.txt,WETHERSFIELD
935,"OCTOBER 17, 2001 -1- FINAL DECISION AND ORDER 01-270 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON ",01_270.pdf.txt,WESTPORT
561,"NOVEMBER 15, 2001 -1- FINAL DECISION AND ORDER 01-272 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION [STUDENT] V. NEW BRITAIN BOARD OF EDUCATION APPEARI",01_272.pdf.txt,NEW BRITAIN
1900,"DECEMBER 20, 2001 -1- FINAL DECISION AND ORDER 01-275 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWICH BOARD OF EDUCATION APPEARING ON ",01_275.pdf.txt,NORWICH
2728,"MAY 10, 2002 -1- FINAL DECISION AND ORDER 01-276 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. TRUMBULL BOARD OF EDUCATION APPEARING ON BEHA",01_276.pdf.txt,TRUMBULL
704,"OCTOBER 2, 2001 -1- FINAL DECISION AND ORDER 01-279 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. UNIFIED SCHOOL DISTRICT #2/DEPARTMENT OF C",01_279.pdf.txt,
1593,"OCTOBER 12, 2001 -2- FINAL DECISION AND ORDER 01-280 ISSUES: 1. DOES THE PLACEMENT OFFERED BY THE BOARD FOR THE 2001-2002 ACADEMIC YEAR FOR THE STUDEN",01_280.pdf.txt,
2692,"JULY 16, 2002 -1- FINAL DECISION AND ORDER 01-282 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. REGIONAL SCHOOL DISTRICT NO. 15 BOARD OF EDU",01_282.pdf.txt,REGIONAL SCHOOL DISTRICT NO. 15
2016,"JANUARY 25, 2002 -1- FINAL DECISION AND ORDER 01-288 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GREENWICH BOARD OF EDUCATION APPEARING ON",01_288.pdf.txt,GREENWICH
1007,"NOVEMBER 20, 2001 -1- FINAL DECISION AND ORDER 01-294 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE # 01-294 (CONSOLIDATED WITH CASE NO. 01-305) N",01_294.pdf.txt,NEW MILFORD
2049,"NOVEMBER 9, 2001 -1- FINAL DECISION AND ORDER 01-304 STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON BEHALF OF THE PARENTS: ATTORNEY DAVID C. SHAW",01_304.pdf.txt,WESTPORT
1548,"OCTOBER 12, 2001 -2- FINAL DECISION AND ORDER 01-305 PROCEDURAL SUMMARY/FINDINGS OF FACT: TO THE EXTENT THAT THE PROCEDURAL SUMMARY INCLUDES FINDINGS ",01_305.pdf.txt,
1270,"FEBRUARY 19, 2002 -1- FINAL DECISION AND ORDER 01-310 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW BRITAIN BOARD OF EDUCATION APPEARING",01_310.pdf.txt,NEW BRITAIN
2612,"JANUARY 9, 2002 -1- FINAL DECISION AND ORDER 01-317 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE NUMBER 01-317 DATE OF DECISION: JANUARY 9, 2002 ",01_317.pdf.txt,ENFIELD
931,"NOVEMBER 16, 2001 -1- FINAL DECISION AND ORDER 01-318 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE # 01-318 DATE OF DECISION: NOVEMBER 15, 2001 S",01_318.pdf.txt,STRATFORD
2157,"DECEMBER 28, 2001 -1- FINAL DECISION AND ORDER 01-320 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION [STUDENT] V. BRANFORD BOARD OF EDUCATION APPEARING ",01_320.pdf.txt,BRANFORD
647,"DECEMBER 5, 2001 -1- FINAL DECISION AND ORDER 01-325 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE # 01-325 STUDENT V. WESTPORT BOARD OF EDUCATION",01_325.pdf.txt,WESTPORT
1048,"NOVEMBER 1, 2001 -1- FINAL DECISION AND ORDER 01-327 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. MANCHESTER BOARD OF EDUCATION APPEARING O",01_327.pdf.txt,MANCHESTER
2530,"STATE OF CONNECTICUT &#8226;DEPARTMENT OF EDUCATION &#8226;CASE # 01-328 DATE OF DECISION: NOVEMBER 30, 2001 STUDENT V. LEDYARD BOARD OF EDUCATION PAR",01_328.pdf.txt,LEDYARD
2163,"DECEMBER 13, 2001 -2- FINAL DECISION AND ORDER 01-330 SUMMARY: THE ISSUES IN THIS MATTER INCLUDED PRIVATE PLACEMENT AND REIMBURSEMENT FOR SUMMER SERVI",01_330.pdf.txt,
102,"NOVEMBER 20, 2001 -1- FINAL DECISION AND ORDER 01-334 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE #: 01-334 DATE OF DECISION NOVEMBER 20, 2001 A",01_334.pdf.txt,
644,"APRIL 2, 2002 -1- FINAL DECISION AND ORDER 01-335 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWALK BOARD OF EDUCATION APPEARING ON BEHA",01_335.pdf.txt,NORWALK
1208,"JANUARY 31, 2002 -1- FINAL DECISION AND ORDER 01-336 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION [STUDENT] V. WALLINGFORD BOARD OF EDUCATION APPEARIN",01_336.pdf.txt,WALLINGFORD
2533,"JULY 10, 2002 -1- FINAL DECISION AND ORDER 01-338 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON BEH",01_338.pdf.txt,WESTPORT
976,"MARCH 6, 2002 -1- FINAL DECISION AND ORDER 01-345 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION FAIRFIELD BOARD OF EDUCATION V. STUDENT APPEARING ON BE",01_345.pdf.txt,FAIRFIELD
184,"NOVEMBER 29, 2001 -1- FINAL DECISION AND ORDER 01-346 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON",01_346.pdf.txt,WESTPORT
1625,"SEPTEMBER 27, 2002 -1- FINAL DECISION AND ORDER 01-351 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WILTON BOARD OF EDUCATION APPEARING ON ",01_351.pdf.txt,WILTON
2580,"JANUARY 29, 2002 -1- FINAL DECISION AND ORDER 01-365 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE # 01-365 STUDENT K. V. RIDGEFIELD BOARD OF EDUC",01_365.pdf.txt,RIDGEFIELD
603,"JANUARY 9, 2002 -1- FINAL DECISION AND ORDER 01-368 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION CASE #: 01-368 DATE OF DECISION: JANUARY 9, 2002 STUD",01_368.pdf.txt,GREENWICH
1295,"JANUARY 31, 2002 -1- FINAL DECISION AND ORDER 01-372 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION [STUDENT] V. SOUTHINGTON BOARD OF EDUCATION APPEARIN",01_372.pdf.txt,SOUTHINGTON
809,"FEBRUARY 19, 2002 -1- FINAL DECISION AND ORDER 01-387 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. STRATFORD BOARD OF EDUCATION APPEARING O",01_387.pdf.txt,STRATFORD
1948,"MARCH 5, 2002 -1- FINAL DECISION AND ORDER 01-392 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WATERBURY BOARD OF EDUCATION APPEARING ON BE",01_392.pdf.txt,WATERBURY
